,sample1,sample2,sample3
AT2G32040,1257.66511,1241.93295,1111.268397
AT2G32050,18.13427215,22.61486404,19.54737726
AT2G32060,11256.0494,10644.06268,12024.56912
AT2G32070,1136.058814,1317.315831,1257.873727
AT2G32080,1653.418932,1573.617623,1522.740689
AT2G32090,907.7803296,783.0396675,1032.101519
AT2G32100,286.9481888,159.2463343,274.6406505
AT2G32120,262.4135853,155.4771903,238.4780026
AT2G32130,0,0,5.864213179
AT2G32140,2.133443783,5.653716011,9.773688632
AT2G32150,199.4769937,81.03659616,320.5769871
AT2G32160,69.33692294,99.8823162,65.48371383
AT2G32170,1411.273062,1591.521057,1527.627533
AT2G32179,1235.26395,1077.0329,1088.788914
AT2G32180,1188.328187,1032.745458,1049.694159
AT2G32190,3.200165674,16.01886203,6.841582042
AT2G32200,24.5346035,4.711430009,1.954737726
AT2G32210,44.80231944,41.46058408,50.82318088
AT2G32220,540.827999,528.622447,551.2360388
AT2G32230,1919.032683,2705.303111,1956.692464
AT2G32235,417.0882596,429.6824168,479.8881118
AT2G32240,1974.502221,1731.921671,1618.522837
AT2G32250,663.5010165,738.7522254,733.0266474
AT2G32260,1809.160328,1730.037099,1922.484554
